 | 20:11:57 | XXXXXXXXXXXXXXXXXXXX | PCCMPFSLUMP862   | P46V101      | 0000 | 0001 | 53 File not found
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0001 | Tag DynaTrace: FW1;-1;-1;-1;-1;-1;-1;-1 | KeyDynaTrace 0
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0002 | *****Usuário logado***** test01
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0003 | 2/2//921215/test01//0
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0004 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0005 | Tag DynaTrace: FW1;-1;-1;-1;-1;-1;-1;-1 | KeyDynaTrace 0
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0006 | *****Usuário logado***** test01
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0007 | 2/2//921215/test01//0
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0008 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:41:37 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0009 | FGE0017 - Código corretor informado (0921007) não permitido para este usuário(test01 - Corr:0921215)
25/04/2018 | 20:41:38 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0001 | Tag DynaTrace: FW1;-1;-1;-1;-1;-1;-1;-1 | KeyDynaTrace 0
25/04/2018 | 20:41:38 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0002 | *****Usuário logado***** test01
25/04/2018 | 20:41:38 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0003 | 2/2//921215/test01//0
25/04/2018 | 20:41:38 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0004 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:41:38 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0005 | *****Usuário logado***** test01
25/04/2018 | 20:41:38 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0006 | 2/2//921215/test01//0
25/04/2018 | 20:41:38 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0007 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:41:38 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0008 | Trace - GFSalvar - Processou mfNormalizaPedido.
25/04/2018 | 20:41:39 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0009 | Trace - mfSalvarPedido - Processou GFSalvar.
25/04/2018 | 20:41:51 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0001 | Tag DynaTrace: FW1;-1;-1;-1;-1;-1;-1;-1 | KeyDynaTrace 0
25/04/2018 | 20:41:51 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0002 | *****Usuário logado***** test01
25/04/2018 | 20:41:51 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0003 | 2/2//921215/test01//0
25/04/2018 | 20:41:51 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0004 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
25/04/2018 | 20:41:51 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0005 | *****Usuário logado***** test01
25/04/2018 | 20:41:51 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0006 | 2/2//921215/test01//0
25/04/2018 | 20:41:51 | test01               | PCCMPFSLUMP862   | D46O003_1080 | 0000 | 0007 | TipoUsuario=2/TipoAcesso=2/Corretor=921215/CodUserMsp=/prior_multi=0/syasportal.DBO.
